База данных обычного бетона — Normal Concrete ML Dataset;;;;;;;;;;;
Всего строк: 2412  |  Оба таргета (Slump+CS): 873  |  Только CS_28d: 1539  |  Источники: UCI Slump Test (Yeh,2007), Mendeley Guangxi (2022), UCI CS (Yeh,1998), Лист6;;;;;;;;;;;
Цемент (кг/м³);Шлак BFS (кг/м³);Зола-унос (кг/м³);Микрокремнезём (кг/м³);Вода (кг/м³);Суперпластификатор (кг/м³);ЩебеньКрупный заполнитель (кг/м³);Песок Мелкий заполнитель (кг/м³);Возраст (дней);Осадка конуса (мм)  ← ТАРГЕТ 1;Прочность CS_28d (МПа)  ← ТАРГЕТ 2;Источник
290,40;0,00;96,20;0,00;168,10;9,40;961,20;865,00;100;;48,97;UCI_Yeh1998_CS_only
277,10;0,00;97,40;0,00;160,60;11,80;973,90;875,60;3;;23,14;UCI_Yeh1998_CS_only
277,10;0,00;97,40;0,00;160,60;11,80;973,90;875,60;14;;41,89;UCI_Yeh1998_CS_only
277,10;0,00;97,40;0,00;160,60;11,80;973,90;875,60;28;;48,28;UCI_Yeh1998_CS_only
277,10;0,00;97,40;0,00;160,60;11,80;973,90;875,60;56;;51,04;UCI_Yeh1998_CS_only
277,10;0,00;97,40;0,00;160,60;11,80;973,90;875,60;100;;55,64;UCI_Yeh1998_CS_only
295,70;0,00;95,60;0,00;171,50;8,90;955,10;859,20;3;;22,95;UCI_Yeh1998_CS_only
295,70;0,00;95,60;0,00;171,50;8,90;955,10;859,20;14;;35,23;UCI_Yeh1998_CS_only
295,70;0,00;95,60;0,00;171,50;8,90;955,10;859,20;28;;39,94;UCI_Yeh1998_CS_only
295,70;0,00;95,60;0,00;171,50;8,90;955,10;859,20;56;;48,72;UCI_Yeh1998_CS_only
295,70;0,00;95,60;0,00;171,50;8,90;955,10;859,20;100;;52,04;UCI_Yeh1998_CS_only
251,80;0,00;99,90;0,00;146,10;12,40;1 006,00;899,80;3;;21,02;UCI_Yeh1998_CS_only
251,80;0,00;99,90;0,00;146,10;12,40;1 006,00;899,80;14;;33,36;UCI_Yeh1998_CS_only
251,80;0,00;99,90;0,00;146,10;12,40;1 006,00;899,80;28;;33,94;UCI_Yeh1998_CS_only
251,80;0,00;99,90;0,00;146,10;12,40;1 006,00;899,80;56;;44,14;UCI_Yeh1998_CS_only
251,80;0,00;99,90;0,00;146,10;12,40;1 006,00;899,80;100;;45,37;UCI_Yeh1998_CS_only
249,10;0,00;98,80;0,00;158,10;12,80;987,80;889,00;3;;15,36;UCI_Yeh1998_CS_only
249,10;0,00;98,80;0,00;158,10;12,80;987,80;889,00;14;;28,68;UCI_Yeh1998_CS_only
249,10;0,00;98,80;0,00;158,10;12,80;987,80;889,00;28;;30,85;UCI_Yeh1998_CS_only
249,10;0,00;98,80;0,00;158,10;12,80;987,80;889,00;56;;42,03;UCI_Yeh1998_CS_only
249,10;0,00;98,80;0,00;158,10;12,80;987,80;889,00;100;;51,06;UCI_Yeh1998_CS_only
252,30;0,00;98,80;0,00;146,30;14,20;987,80;889,00;3;;21,78;UCI_Yeh1998_CS_only
252,30;0,00;98,80;0,00;146,30;14,20;987,80;889,00;14;;42,29;UCI_Yeh1998_CS_only
252,30;0,00;98,80;0,00;146,30;14,20;987,80;889,00;28;;50,6;UCI_Yeh1998_CS_only
252,30;0,00;98,80;0,00;146,30;14,20;987,80;889,00;56;;55,83;UCI_Yeh1998_CS_only
252,30;0,00;98,80;0,00;146,30;14,20;987,80;889,00;100;;60,95;UCI_Yeh1998_CS_only
246,80;0,00;125,10;0,00;143,30;12,00;1 086,80;800,90;3;;23,52;UCI_Yeh1998_CS_only
246,80;0,00;125,10;0,00;143,30;12,00;1 086,80;800,90;14;;42,22;UCI_Yeh1998_CS_only
246,80;0,00;125,10;0,00;143,30;12,00;1 086,80;800,90;28;;52,5;UCI_Yeh1998_CS_only
246,80;0,00;125,10;0,00;143,30;12,00;1 086,80;800,90;56;;60,32;UCI_Yeh1998_CS_only
246,80;0,00;125,10;0,00;143,30;12,00;1 086,80;800,90;100;;66,42;UCI_Yeh1998_CS_only
275,10;0,00;121,40;0,00;159,50;9,90;1 053,60;777,50;3;;23,8;UCI_Yeh1998_CS_only
275,10;0,00;121,40;0,00;159,50;9,90;1 053,60;777,50;14;;38,77;UCI_Yeh1998_CS_only
275,10;0,00;121,40;0,00;159,50;9,90;1 053,60;777,50;28;;51,33;UCI_Yeh1998_CS_only
275,10;0,00;121,40;0,00;159,50;9,90;1 053,60;777,50;56;;56,85;UCI_Yeh1998_CS_only
275,10;0,00;121,40;0,00;159,50;9,90;1 053,60;777,50;100;;58,61;UCI_Yeh1998_CS_only
297,20;0,00;117,50;0,00;174,80;9,50;1 022,80;753,50;3;;21,91;UCI_Yeh1998_CS_only
297,20;0,00;117,50;0,00;174,80;9,50;1 022,80;753,50;14;;36,99;UCI_Yeh1998_CS_only
297,20;0,00;117,50;0,00;174,80;9,50;1 022,80;753,50;28;;47,4;UCI_Yeh1998_CS_only
297,20;0,00;117,50;0,00;174,80;9,50;1 022,80;753,50;56;;51,96;UCI_Yeh1998_CS_only
297,20;0,00;117,50;0,00;174,80;9,50;1 022,80;753,50;100;;56,74;UCI_Yeh1998_CS_only
213,70;0,00;174,70;0,00;154,80;10,20;1 053,50;776,40;3;;17,57;UCI_Yeh1998_CS_only
213,70;0,00;174,70;0,00;154,80;10,20;1 053,50;776,40;14;;33,73;UCI_Yeh1998_CS_only
213,70;0,00;174,70;0,00;154,80;10,20;1 053,50;776,40;28;;40,15;UCI_Yeh1998_CS_only
213,70;0,00;174,70;0,00;154,80;10,20;1 053,50;776,40;56;;46,64;UCI_Yeh1998_CS_only
213,70;0,00;174,70;0,00;154,80;10,20;1 053,50;776,40;100;;50,08;UCI_Yeh1998_CS_only
213,50;0,00;174,20;0,00;154,60;11,70;1 052,30;775,50;3;;17,37;UCI_Yeh1998_CS_only
213,50;0,00;174,20;0,00;154,60;11,70;1 052,30;775,50;14;;33,7;UCI_Yeh1998_CS_only
213,50;0,00;174,20;0,00;154,60;11,70;1 052,30;775,50;28;;45,94;UCI_Yeh1998_CS_only
213,50;0,00;174,20;0,00;154,60;11,70;1 052,30;775,50;56;;51,43;UCI_Yeh1998_CS_only
213,50;0,00;174,20;0,00;154,60;11,70;1 052,30;775,50;100;;59,3;UCI_Yeh1998_CS_only
277,20;97,80;24,50;0,00;160,70;11,20;1 061,70;782,50;3;;30,45;UCI_Yeh1998_CS_only
277,20;97,80;24,50;0,00;160,70;11,20;1 061,70;782,50;14;;47,71;UCI_Yeh1998_CS_only
277,20;97,80;24,50;0,00;160,70;11,20;1 061,70;782,50;28;;63,14;UCI_Yeh1998_CS_only
277,20;97,80;24,50;0,00;160,70;11,20;1 061,70;782,50;56;;66,82;UCI_Yeh1998_CS_only
277,20;97,80;24,50;0,00;160,70;11,20;1 061,70;782,50;100;;66,95;UCI_Yeh1998_CS_only
218,20;54,60;123,80;0,00;140,80;11,90;1 075,70;792,70;3;;27,42;UCI_Yeh1998_CS_only
218,20;54,60;123,80;0,00;140,80;11,90;1 075,70;792,70;14;;35,96;UCI_Yeh1998_CS_only
218,20;54,60;123,80;0,00;140,80;11,90;1 075,70;792,70;28;;55,51;UCI_Yeh1998_CS_only
218,20;54,60;123,80;0,00;140,80;11,90;1 075,70;792,70;56;;61,99;UCI_Yeh1998_CS_only
218,20;54,60;123,80;0,00;140,80;11,90;1 075,70;792,70;100;;63,53;UCI_Yeh1998_CS_only
214,90;53,80;121,90;0,00;155,60;9,60;1 014,30;780,60;3;;18,02;UCI_Yeh1998_CS_only
214,90;53,80;121,90;0,00;155,60;9,60;1 014,30;780,60;14;;38,6;UCI_Yeh1998_CS_only
214,90;53,80;121,90;0,00;155,60;9,60;1 014,30;780,60;28;;52,2;UCI_Yeh1998_CS_only
214,90;53,80;121,90;0,00;155,60;9,60;1 014,30;780,60;56;;53,96;UCI_Yeh1998_CS_only
214,90;53,80;121,90;0,00;155,60;9,60;1 014,30;780,60;100;;56,63;UCI_Yeh1998_CS_only
218,90;0,00;124,10;0,00;158,50;11,30;1 078,70;794,90;3;;15,34;UCI_Yeh1998_CS_only
218,90;0,00;124,10;0,00;158,50;11,30;1 078,70;794,90;14;;26,05;UCI_Yeh1998_CS_only
218,90;0,00;124,10;0,00;158,50;11,30;1 078,70;794,90;28;;30,22;UCI_Yeh1998_CS_only
218,90;0,00;124,10;0,00;158,50;11,30;1 078,70;794,90;56;;37,27;UCI_Yeh1998_CS_only
218,90;0,00;124,10;0,00;158,50;11,30;1 078,70;794,90;100;;46,23;UCI_Yeh1998_CS_only
376,00;0,00;0,00;0,00;214,60;0,00;1 003,50;762,40;3;;16,28;UCI_Yeh1998_CS_only
376,00;0,00;0,00;0,00;214,60;0,00;1 003,50;762,40;14;;25,62;UCI_Yeh1998_CS_only
376,00;0,00;0,00;0,00;214,60;0,00;1 003,50;762,40;28;;31,97;UCI_Yeh1998_CS_only
376,00;0,00;0,00;0,00;214,60;0,00;1 003,50;762,40;56;;36,3;UCI_Yeh1998_CS_only
376,00;0,00;0,00;0,00;214,60;0,00;1 003,50;762,40;100;;43,06;UCI_Yeh1998_CS_only
500,00;0,00;0,00;0,00;140,00;4,00;966,00;853,00;28;;67,57;UCI_Yeh1998_CS_only
475,00;0,00;59,00;0,00;142,00;1,90;1 098,00;641,00;28;;57,23;UCI_Yeh1998_CS_only
315,00;137,00;0,00;0,00;145,00;5,90;1 130,00;745,00;28;;81,75;UCI_Yeh1998_CS_only
505,00;0,00;60,00;0,00;195,00;0,00;1 030,00;630,00;28;;64,02;UCI_Yeh1998_CS_only
451,00;0,00;0,00;0,00;165,00;11,30;1 030,00;745,00;28;;78,8;UCI_Yeh1998_CS_only
516,00;0,00;0,00;0,00;162,00;8,20;801,00;802,00;28;;41,37;UCI_Yeh1998_CS_only
520,00;0,00;0,00;0,00;170,00;5,20;855,00;855,00;28;;60,28;UCI_Yeh1998_CS_only
528,00;0,00;0,00;0,00;185,00;6,90;920,00;720,00;28;;56,83;UCI_Yeh1998_CS_only
520,00;0,00;0,00;0,00;175,00;5,20;870,00;805,00;28;;51,02;UCI_Yeh1998_CS_only
385,00;0,00;136,00;0,00;158,00;20,00;903,00;768,00;28;;55,55;UCI_Yeh1998_CS_only
500,10;0,00;0,00;0,00;200,00;3,00;1 124,40;613,20;28;;44,13;UCI_Yeh1998_CS_only
450,10;50,00;0,00;0,00;200,00;3,00;1 124,40;613,20;28;;39,38;UCI_Yeh1998_CS_only
397,00;17,20;158,00;0,00;167,00;20,80;967,00;633,00;28;;55,65;UCI_Yeh1998_CS_only
333,00;17,50;163,00;0,00;167,00;17,90;996,00;652,00;28;;47,28;UCI_Yeh1998_CS_only
334,00;17,60;158,00;0,00;189,00;15,30;967,00;633,00;28;;44,33;UCI_Yeh1998_CS_only
405,00;0,00;0,00;0,00;175,00;0,00;1 120,00;695,00;28;;52,3;UCI_Yeh1998_CS_only
200,00;200,00;0,00;0,00;190,00;0,00;1 145,00;660,00;28;;49,25;UCI_Yeh1998_CS_only
516,00;0,00;0,00;0,00;162,00;8,30;801,00;802,00;28;;41,37;UCI_Yeh1998_CS_only
145,00;116,00;119,00;0,00;184,00;5,70;833,00;880,00;28;;29,16;UCI_Yeh1998_CS_only
160,00;128,00;122,00;0,00;182,00;6,40;824,00;879,00;28;;39,4;UCI_Yeh1998_CS_only
234,00;156,00;0,00;0,00;189,00;5,90;981,00;760,00;28;;39,3;UCI_Yeh1998_CS_only
250,00;180,00;95,00;0,00;159,00;9,50;860,00;800,00;28;;67,87;UCI_Yeh1998_CS_only
475,00;0,00;0,00;0,00;162,00;9,50;1 044,00;662,00;28;;58,52;UCI_Yeh1998_CS_only
285,00;190,00;0,00;0,00;163,00;7,60;1 031,00;685,00;28;;53,58;UCI_Yeh1998_CS_only
356,00;119,00;0,00;0,00;160,00;9,00;1 061,00;657,00;28;;59;UCI_Yeh1998_CS_only
275,00;180,00;120,00;0,00;162,00;10,40;830,00;765,00;28;;76,24;UCI_Yeh1998_CS_only
500,00;0,00;0,00;0,00;151,00;9,00;1 033,00;655,00;28;;69,84;UCI_Yeh1998_CS_only
165,00;0,00;143,60;0,00;163,80;0,00;1 005,60;900,90;3;;14,4;UCI_Yeh1998_CS_only
165,00;128,50;132,10;0,00;175,10;8,10;1 005,80;746,60;3;;19,42;UCI_Yeh1998_CS_only
178,00;129,80;118,60;0,00;179,90;3,60;1 007,30;746,80;3;;20,73;UCI_Yeh1998_CS_only
167,40;129,90;128,60;0,00;175,50;7,80;1 006,30;746,60;3;;14,94;UCI_Yeh1998_CS_only
172,40;13,60;172,40;0,00;156,80;4,10;1 006,30;856,40;3;;21,29;UCI_Yeh1998_CS_only
173,50;50,10;173,50;0,00;164,80;6,50;1 006,20;793,50;3;;23,08;UCI_Yeh1998_CS_only
167,00;75,40;167,00;0,00;164,00;7,90;1 007,30;770,10;3;;15,52;UCI_Yeh1998_CS_only
173,80;93,40;159,90;0,00;172,30;9,70;1 007,20;746,60;3;;15,82;UCI_Yeh1998_CS_only
190,30;0,00;125,20;0,00;166,60;9,90;1 079,00;798,90;3;;12,55;UCI_Yeh1998_CS_only
250,00;0,00;95,70;0,00;191,80;5,30;948,90;857,20;3;;8,49;UCI_Yeh1998_CS_only
213,50;0,00;174,20;0,00;159,20;11,70;1 043,60;771,90;3;;15,61;UCI_Yeh1998_CS_only
194,70;0,00;100,50;0,00;170,20;7,50;998,00;901,80;3;;12,18;UCI_Yeh1998_CS_only
251,40;0,00;118,30;0,00;192,90;5,80;1 043,60;754,30;3;;11,98;UCI_Yeh1998_CS_only
165,00;0,00;143,60;0,00;163,80;0,00;1 005,60;900,90;14;;16,88;UCI_Yeh1998_CS_only
165,00;128,50;132,10;0,00;175,10;8,10;1 005,80;746,60;14;;33,09;UCI_Yeh1998_CS_only
178,00;129,80;118,60;0,00;179,90;3,60;1 007,30;746,80;14;;34,24;UCI_Yeh1998_CS_only
167,40;129,90;128,60;0,00;175,50;7,80;1 006,30;746,60;14;;31,81;UCI_Yeh1998_CS_only
172,40;13,60;172,40;0,00;156,80;4,10;1 006,30;856,40;14;;29,75;UCI_Yeh1998_CS_only
173,50;50,10;173,50;0,00;164,80;6,50;1 006,20;793,50;14;;33,01;UCI_Yeh1998_CS_only
167,00;75,40;167,00;0,00;164,00;7,90;1 007,30;770,10;14;;32,9;UCI_Yeh1998_CS_only
173,80;93,40;159,90;0,00;172,30;9,70;1 007,20;746,60;14;;29,55;UCI_Yeh1998_CS_only
190,30;0,00;125,20;0,00;166,60;9,90;1 079,00;798,90;14;;19,42;UCI_Yeh1998_CS_only
250,00;0,00;95,70;0,00;191,80;5,30;948,90;857,20;14;;24,66;UCI_Yeh1998_CS_only
213,50;0,00;174,20;0,00;159,20;11,70;1 043,60;771,90;14;;29,59;UCI_Yeh1998_CS_only
194,70;0,00;100,50;0,00;170,20;7,50;998,00;901,80;14;;24,28;UCI_Yeh1998_CS_only
251,40;0,00;118,30;0,00;192,90;5,80;1 043,60;754,30;14;;20,73;UCI_Yeh1998_CS_only
165,00;0,00;143,60;0,00;163,80;0,00;1 005,60;900,90;28;;26,2;UCI_Yeh1998_CS_only
165,00;128,50;132,10;0,00;175,10;8,10;1 005,80;746,60;28;;46,39;UCI_Yeh1998_CS_only
178,00;129,80;118,60;0,00;179,90;3,60;1 007,30;746,80;28;;39,16;UCI_Yeh1998_CS_only
167,40;129,90;128,60;0,00;175,50;7,80;1 006,30;746,60;28;;41,2;UCI_Yeh1998_CS_only
172,40;13,60;172,40;0,00;156,80;4,10;1 006,30;856,40;28;;33,69;UCI_Yeh1998_CS_only
173,50;50,10;173,50;0,00;164,80;6,50;1 006,20;793,50;28;;38,2;UCI_Yeh1998_CS_only
167,00;75,40;167,00;0,00;164,00;7,90;1 007,30;770,10;28;;41,41;UCI_Yeh1998_CS_only
173,80;93,40;159,90;0,00;172,30;9,70;1 007,20;746,60;28;;37,81;UCI_Yeh1998_CS_only
190,30;0,00;125,20;0,00;166,60;9,90;1 079,00;798,90;28;;24,85;UCI_Yeh1998_CS_only
250,00;0,00;95,70;0,00;191,80;5,30;948,90;857,20;28;;27,22;UCI_Yeh1998_CS_only
213,50;0,00;174,20;0,00;159,20;11,70;1 043,60;771,90;28;;44,64;UCI_Yeh1998_CS_only
194,70;0,00;100,50;0,00;170,20;7,50;998,00;901,80;28;;37,27;UCI_Yeh1998_CS_only
251,40;0,00;118,30;0,00;192,90;5,80;1 043,60;754,30;28;;33,27;UCI_Yeh1998_CS_only
165,00;0,00;143,60;0,00;163,80;0,00;1 005,60;900,90;56;;36,56;UCI_Yeh1998_CS_only
165,00;128,50;132,10;0,00;175,10;8,10;1 005,80;746,60;56;;53,72;UCI_Yeh1998_CS_only
178,00;129,80;118,60;0,00;179,90;3,60;1 007,30;746,80;56;;48,59;UCI_Yeh1998_CS_only
167,40;129,90;128,60;0,00;175,50;7,80;1 006,30;746,60;56;;51,72;UCI_Yeh1998_CS_only
172,40;13,60;172,40;0,00;156,80;4,10;1 006,30;856,40;56;;35,85;UCI_Yeh1998_CS_only
173,50;50,10;173,50;0,00;164,80;6,50;1 006,20;793,50;56;;53,77;UCI_Yeh1998_CS_only
167,00;75,40;167,00;0,00;164,00;7,90;1 007,30;770,10;56;;53,46;UCI_Yeh1998_CS_only
173,80;93,40;159,90;0,00;172,30;9,70;1 007,20;746,60;56;;48,99;UCI_Yeh1998_CS_only
190,30;0,00;125,20;0,00;166,60;9,90;1 079,00;798,90;56;;31,72;UCI_Yeh1998_CS_only
250,00;0,00;95,70;0,00;191,80;5,30;948,90;857,20;56;;39,64;UCI_Yeh1998_CS_only
213,50;0,00;174,20;0,00;159,20;11,70;1 043,60;771,90;56;;51,26;UCI_Yeh1998_CS_only
194,70;0,00;100,50;0,00;170,20;7,50;998,00;901,80;56;;43,39;UCI_Yeh1998_CS_only
251,40;0,00;118,30;0,00;192,90;5,80;1 043,60;754,30;56;;39,27;UCI_Yeh1998_CS_only
165,00;0,00;143,60;0,00;163,80;0,00;1 005,60;900,90;100;;37,96;UCI_Yeh1998_CS_only
165,00;128,50;132,10;0,00;175,10;8,10;1 005,80;746,60;100;;55,02;UCI_Yeh1998_CS_only
178,00;129,80;118,60;0,00;179,90;3,60;1 007,30;746,80;100;;49,99;UCI_Yeh1998_CS_only
167,40;129,90;128,60;0,00;175,50;7,80;1 006,30;746,60;100;;53,66;UCI_Yeh1998_CS_only
172,40;13,60;172,40;0,00;156,80;4,10;1 006,30;856,40;100;;37,68;UCI_Yeh1998_CS_only
173,50;50,10;173,50;0,00;164,80;6,50;1 006,20;793,50;100;;56,06;UCI_Yeh1998_CS_only
167,00;75,40;167,00;0,00;164,00;7,90;1 007,30;770,10;100;;56,81;UCI_Yeh1998_CS_only
173,80;93,40;159,90;0,00;172,30;9,70;1 007,20;746,60;100;;50,94;UCI_Yeh1998_CS_only
190,30;0,00;125,20;0,00;166,60;9,90;1 079,00;798,90;100;;33,56;UCI_Yeh1998_CS_only
250,00;0,00;95,70;0,00;191,80;5,30;948,90;857,20;100;;41,16;UCI_Yeh1998_CS_only
213,50;0,00;174,20;0,00;159,20;11,70;1 043,60;771,90;100;;52,96;UCI_Yeh1998_CS_only
194,70;0,00;100,50;0,00;170,20;7,50;998,00;901,80;100;;44,28;UCI_Yeh1998_CS_only
251,40;0,00;118,30;0,00;192,90;5,80;1 043,60;754,30;100;;40,15;UCI_Yeh1998_CS_only
446,00;24,00;79,00;0,00;162,00;11,60;967,00;712,00;28;;57,03;UCI_Yeh1998_CS_only
446,00;24,00;79,00;0,00;162,00;11,60;967,00;712,00;28;;44,42;UCI_Yeh1998_CS_only
446,00;24,00;79,00;0,00;162,00;11,60;967,00;712,00;28;;51,02;UCI_Yeh1998_CS_only
446,00;24,00;79,00;0,00;162,00;10,30;967,00;712,00;28;;53,39;UCI_Yeh1998_CS_only
446,00;24,00;79,00;0,00;162,00;11,60;967,00;712,00;3;;35,36;UCI_Yeh1998_CS_only
446,00;24,00;79,00;0,00;162,00;11,60;967,00;712,00;3;;25,02;UCI_Yeh1998_CS_only
446,00;24,00;79,00;0,00;162,00;11,60;967,00;712,00;3;;23,35;UCI_Yeh1998_CS_only
446,00;24,00;79,00;0,00;162,00;11,60;967,00;712,00;7;;52,01;UCI_Yeh1998_CS_only
446,00;24,00;79,00;0,00;162,00;11,60;967,00;712,00;7;;38,02;UCI_Yeh1998_CS_only
446,00;24,00;79,00;0,00;162,00;11,60;967,00;712,00;7;;39,3;UCI_Yeh1998_CS_only
446,00;24,00;79,00;0,00;162,00;11,60;967,00;712,00;56;;61,07;UCI_Yeh1998_CS_only
446,00;24,00;79,00;0,00;162,00;11,60;967,00;712,00;56;;56,14;UCI_Yeh1998_CS_only
446,00;24,00;79,00;0,00;162,00;11,60;967,00;712,00;56;;55,25;UCI_Yeh1998_CS_only
446,00;24,00;79,00;0,00;162,00;10,30;967,00;712,00;56;;54,77;UCI_Yeh1998_CS_only
387,00;20,00;94,00;0,00;157,00;14,30;938,00;845,00;28;;50,24;UCI_Yeh1998_CS_only
387,00;20,00;94,00;0,00;157,00;13,90;938,00;845,00;28;;46,68;UCI_Yeh1998_CS_only
387,00;20,00;94,00;0,00;157,00;11,60;938,00;845,00;28;;46,68;UCI_Yeh1998_CS_only
387,00;20,00;94,00;0,00;157,00;14,30;938,00;845,00;3;;22,75;UCI_Yeh1998_CS_only
387,00;20,00;94,00;0,00;157,00;13,90;938,00;845,00;3;;25,51;UCI_Yeh1998_CS_only
387,00;20,00;94,00;0,00;157,00;11,60;938,00;845,00;3;;34,77;UCI_Yeh1998_CS_only
387,00;20,00;94,00;0,00;157,00;14,30;938,00;845,00;7;;36,84;UCI_Yeh1998_CS_only
387,00;20,00;94,00;0,00;157,00;13,90;938,00;845,00;7;;45,9;UCI_Yeh1998_CS_only
387,00;20,00;94,00;0,00;157,00;11,60;938,00;845,00;7;;41,67;UCI_Yeh1998_CS_only
387,00;20,00;94,00;0,00;157,00;14,30;938,00;845,00;56;;56,34;UCI_Yeh1998_CS_only
387,00;20,00;94,00;0,00;157,00;13,90;938,00;845,00;56;;47,97;UCI_Yeh1998_CS_only
387,00;20,00;94,00;0,00;157,00;11,60;938,00;845,00;56;;61,46;UCI_Yeh1998_CS_only
355,00;19,00;97,00;0,00;145,00;13,10;967,00;871,00;28;;44,03;UCI_Yeh1998_CS_only
355,00;19,00;97,00;0,00;145,00;12,30;967,00;871,00;28;;55,45;UCI_Yeh1998_CS_only
491,00;26,00;123,00;0,00;210,00;3,90;882,00;699,00;28;;55,55;UCI_Yeh1998_CS_only
491,00;26,00;123,00;0,00;201,00;3,90;822,00;699,00;28;;57,92;UCI_Yeh1998_CS_only
491,00;26,00;123,00;0,00;210,00;3,90;882,00;699,00;3;;25,61;UCI_Yeh1998_CS_only
491,00;26,00;123,00;0,00;210,00;3,90;882,00;699,00;7;;33,49;UCI_Yeh1998_CS_only
491,00;26,00;123,00;0,00;210,00;3,90;882,00;699,00;56;;59,59;UCI_Yeh1998_CS_only
491,00;26,00;123,00;0,00;201,00;3,90;822,00;699,00;3;;29,55;UCI_Yeh1998_CS_only
491,00;26,00;123,00;0,00;201,00;3,90;822,00;699,00;7;;37,92;UCI_Yeh1998_CS_only
491,00;26,00;123,00;0,00;201,00;3,90;822,00;699,00;56;;61,86;UCI_Yeh1998_CS_only
424,00;22,00;132,00;0,00;178,00;8,50;822,00;750,00;28;;62,05;UCI_Yeh1998_CS_only
424,00;22,00;132,00;0,00;178,00;8,50;882,00;750,00;3;;32,01;UCI_Yeh1998_CS_only
424,00;22,00;132,00;0,00;168,00;8,90;822,00;750,00;28;;72,1;UCI_Yeh1998_CS_only
424,00;22,00;132,00;0,00;178,00;8,50;822,00;750,00;7;;39;UCI_Yeh1998_CS_only
424,00;22,00;132,00;0,00;178,00;8,50;822,00;750,00;56;;65,7;UCI_Yeh1998_CS_only
424,00;22,00;132,00;0,00;168,00;8,90;822,00;750,00;3;;32,11;UCI_Yeh1998_CS_only
424,00;22,00;132,00;0,00;168,00;8,90;822,00;750,00;7;;40,29;UCI_Yeh1998_CS_only
424,00;22,00;132,00;0,00;168,00;8,90;822,00;750,00;56;;74,36;UCI_Yeh1998_CS_only
202,00;11,00;141,00;0,00;206,00;1,70;942,00;801,00;28;;21,97;UCI_Yeh1998_CS_only
202,00;11,00;141,00;0,00;206,00;1,70;942,00;801,00;3;;9,85;UCI_Yeh1998_CS_only
202,00;11,00;141,00;0,00;206,00;1,70;942,00;801,00;7;;15,07;UCI_Yeh1998_CS_only
202,00;11,00;141,00;0,00;206,00;1,70;942,00;801,00;56;;23,25;UCI_Yeh1998_CS_only
284,00;15,00;141,00;0,00;179,00;5,50;842,00;801,00;28;;43,73;UCI_Yeh1998_CS_only
284,00;15,00;141,00;0,00;179,00;5,50;842,00;801,00;3;;13,4;UCI_Yeh1998_CS_only
284,00;15,00;141,00;0,00;179,00;5,50;842,00;801,00;7;;24,13;UCI_Yeh1998_CS_only
284,00;15,00;141,00;0,00;179,00;5,50;842,00;801,00;56;;44,52;UCI_Yeh1998_CS_only
359,00;19,00;141,00;0,00;154,00;10,90;942,00;801,00;28;;62,94;UCI_Yeh1998_CS_only
359,00;19,00;141,00;0,00;154,00;10,90;942,00;801,00;28;;59,49;UCI_Yeh1998_CS_only
359,00;19,00;141,00;0,00;154,00;10,90;942,00;801,00;3;;25,12;UCI_Yeh1998_CS_only
359,00;19,00;141,00;0,00;154,00;10,90;942,00;801,00;3;;23,64;UCI_Yeh1998_CS_only
359,00;19,00;141,00;0,00;154,00;10,90;942,00;801,00;7;;35,75;UCI_Yeh1998_CS_only
359,00;19,00;141,00;0,00;154,00;10,90;942,00;801,00;7;;38,61;UCI_Yeh1998_CS_only
359,00;19,00;141,00;0,00;154,00;10,90;942,00;801,00;56;;68,75;UCI_Yeh1998_CS_only
359,00;19,00;141,00;0,00;154,00;10,90;942,00;801,00;56;;66,78;UCI_Yeh1998_CS_only
436,00;0,00;0,00;0,00;218,00;0,00;838,40;719,70;28;;23,85;UCI_Yeh1998_CS_only
289,00;0,00;0,00;0,00;192,00;0,00;913,20;895,30;90;;32,07;UCI_Yeh1998_CS_only
289,00;0,00;0,00;0,00;192,00;0,00;913,20;895,30;3;;11,65;UCI_Yeh1998_CS_only
393,00;0,00;0,00;0,00;192,00;0,00;940,60;785,60;3;;19,2;UCI_Yeh1998_CS_only
393,00;0,00;0,00;0,00;192,00;0,00;940,60;785,60;90;;48,85;UCI_Yeh1998_CS_only
393,00;0,00;0,00;0,00;192,00;0,00;940,60;785,60;28;;39,6;UCI_Yeh1998_CS_only
480,00;0,00;0,00;0,00;192,00;0,00;936,20;712,20;28;;43,94;UCI_Yeh1998_CS_only
480,00;0,00;0,00;0,00;192,00;0,00;936,20;712,20;7;;34,57;UCI_Yeh1998_CS_only
480,00;0,00;0,00;0,00;192,00;0,00;936,20;712,20;90;;54,32;UCI_Yeh1998_CS_only
480,00;0,00;0,00;0,00;192,00;0,00;936,20;712,20;3;;24,4;UCI_Yeh1998_CS_only
333,00;0,00;0,00;0,00;192,00;0,00;931,20;842,60;3;;15,62;UCI_Yeh1998_CS_only
255,00;0,00;0,00;0,00;192,00;0,00;889,80;945,00;90;;21,86;UCI_Yeh1998_CS_only
255,00;0,00;0,00;0,00;192,00;0,00;889,80;945,00;7;;10,22;UCI_Yeh1998_CS_only
289,00;0,00;0,00;0,00;192,00;0,00;913,20;895,30;7;;14,6;UCI_Yeh1998_CS_only
255,00;0,00;0,00;0,00;192,00;0,00;889,80;945,00;28;;18,75;UCI_Yeh1998_CS_only
333,00;0,00;0,00;0,00;192,00;0,00;931,20;842,60;28;;31,97;UCI_Yeh1998_CS_only
